location_key,area_sq_km,latitude,longitude
AR_B_672,4300,-36.766667,-59.1
AR_B_679,,-35.650833,-63.254444
AR_B_686,,-34.2,-60.733333
AR_B_693,,-35.416667,-59.316667
AR_B_700,,-37.783333,-62.35
AR_B_707,,-35.633333,-57.766667
AR_B_714,,-34.3,-60.25
AR_B_721,,-36.75,-62.833333
AR_B_728,,-34.433333,-59.433333
AR_B_735,,-34.25,-59.466667
AR_B_742,,-38.366667,-60.266667
AR_B_749,,-34.45,-58.566667
AR_B_756,,-34.466667,-58.5
AR_B_760,,-34.55,-58.7
AR_B_763,,-33.329833,-60.229833
AR_B_770,,-33.666667,-59.666667
AR_B_778,,-35.016667,-58.416667
AR_B_784,,-34.766667,-59.683333
AR_B_791,,-37.066667,-59.133333
AR_B_798,,-36.3818,-60.0355
AR_B_805,,-34.416667,-58.583333
AR_B_812,,-36.5,-57.316667
AR_B_819,,-38.1,-62.216667
AR_B_826,,-35.966667,-62.683333
AR_B_833,,-38.366667,-60.266667
AR_B_840,45,-34.598056,-58.565
AR_B_847,,-36.458889,-62.861389
AR_B_854,,-35.416667,-60.166667
AR_B_861,,-34.516667,-58.483333
AR_B_868,,-37.25,-56.95
AR_B_875,11400,-38.816667,-62.7
AR_B_882,1202,-34.1,-59.033333
AR_C,203,-34.599722,-58.381944
AR_C_002,5,-34.590556,-58.390556
AR_C_006,7,-34.616667,-58.45
AR_C_014,15,-34.588889,-58.430556
AR_D,76748,-33.3,-66.35
AR_D_007,,-32.6,-66.116667
AR_D_014,6626,-32.65,-66.45
AR_D_021,4484,-33.05,-65.616667
AR_D_028,2651,-32.65,-65.233333
AR_D_035,,-33.666667,-65.45
AR_D_042,19632,-34.75,-65.25
AR_D_049,2476,-32.333333,-65.2
AR_D_056,,-33.3,-66.333333
AR_D_063,3022,-32.5778,-65.678
AR_E,78781,-32.0477,-60.281
AR_E_008,,-32.224167,-58.144444
AR_E_015,,-31.3916,-58.0177
AR_E_021,2774,-32.0644,-60.6425
AR_E_028,,-30.756944,-57.985
AR_E_035,,-30.956111,-58.779722
AR_E_042,,-30.385,-58.751944
AR_E_049,,-33.1333,-59.3167
AR_E_056,7086,-33.016667,-58.516667
AR_E_063,,-33.7137,-58.6648
AR_E_070,,-30.75,-59.65
AR_E_077,,-32.395556,-59.788056
AR_E_084,,-31.733056,-60.53
AR_E_088,1228,-31.616667,-58.5
AR_E_091,,-32.303333,-59.141389
AR_E_098,,-32.481389,-58.2325
AR_E_105,,-32.6217,-60.1578
AR_E_113,,-31.864167,-59.026944
AR_F,89680,-29.433333,-66.85
AR_F_007,,-28.569444,-66.798889
AR_F_014,,-29.4333,-66.85
AR_F_021,,-28.840833,-66.939722
AR_F_028,,-29.317778,-68.227778
AR_F_035,,-30.359167,-66.313333
AR_F_042,,-29.165,-67.495278
AR_F_049,6371,-28.924722,-67.519722
AR_F_056,,-30.5075,-66.528611
AR_F_063,,-30.6316,-66.2663
AR_F_070,,-30.8,-66.615
AR_F_077,,-29.010833,-68.226389
AR_F_084,,-31.008611,-65.9925
AR_F_091,,-31.5667,-66.25
AR_F_098,,-28.753611,-68.204444
AR_F_105,,-30.1333,-66.95
AR_F_112,,-31.340833,-66.591389
AR_F_119,,-28.414444,-67.098611
AR_F_126,,-29.282222,-67.021111
AR_G,136351,-27.783333,-64.266667
AR_G_007,3692,-29.133333,-62.65
AR_G_014,13507,-26.583889,-62.847222
AR_G_021,,-28.493333,-63.8175
AR_G_028,3902,-28.4814,-63.0691
AR_G_035,3597,-27.735278,-64.243333
AR_G_042,3314,-28.9,-62.2667
AR_G_049,2116,-27.8,-64.2667
AR_G_056,12604,-25.806111,-62.831389
AR_G_063,6492,-28.6361,-65.1169
AR_G_070,,-27.708889,-63.774167
AR_G_077,6040,-28.46,-62.833889
AR_G_084,2588,-27.95,-65.166667
AR_G_091,4832,-27.163333,-64.490833
AR_G_098,9139,-27.935556,-63.429167
AR_G_105,,-28.302222,-64.178889
AR_G_112,,-29.413889,-62.789722
AR_G_119,16127,-27.633333,-62.416667
AR_G_126,,-29.499167,-63.695
AR_G_133,,-26.2,-64.241111
AR_G_140,,-29.382778,-63.472222
AR_G_147,2124,-27.4975,-64.863056
AR_G_154,3402,-29.7667,-62.0333
AR_G_161,1424,-27.917778,-63.895278
AR_G_168,,-28.985,-63.450556
AR_G_175,,-28.25,-63.95
AR_G_182,1549,-28.15,-63.5333
AR_G_189,,-28.045,-64.223889
AR_H,99633,-27.451389,-58.986667
AR_H_007,,-26.516667,-61.166667
AR_H_014,,-27.05,-58.716667
AR_H_021,,-26.8,-60.45
AR_H_028,,-27.216667,-61.2
AR_H_036,,-27.316667,-61.25
AR_H_039,,-27.616667,-61.35
AR_H_043,,-27.816667,-61.15
AR_H_049,,-26.95,-60.966667
AR_H_056,,-27.216667,-59.283333
AR_H_063,,-25.933333,-60.616667
AR_H_070,,-26.8,-60.35
AR_H_077,,-27.383333,-59.083333
AR_H_084,,-26.533333,-59.333333
AR_H_091,,-26.35,-60.433333
AR_H_098,,-27.583333,-60.716667
AR_H_105,,-27.083333,-61.083333
AR_H_112,,-27.283333,-60.7
AR_H_119,,-27.016667,-59.85
AR_H_126,,-27.266667,-58.966667
AR_H_133,,-26.866667,-60.216667
AR_H_140,,-27.45,-58.983333
AR_H_147,2135,-27.283333,-60.416667
AR_H_154,,-26.933333,-59.533333
AR_H_161,,-27.633333,-59.9
AR_H_168,,-26.916667,-60.05
AR_J,89651,-30.87,-68.98
AR_J_007,,-31.416667,-68.5
AR_J_014,,-31.4,-68.366667
AR_J_021,,-31.366667,-69.5
AR_J_028,,-31.516667,-68.533333
AR_J_035,,-31.666667,-68.133333
AR_J_042,,-31.483333,-68.533333
AR_J_049,,-30.183333,-69.15
AR_J_056,,-30.216667,-68.583333
AR_J_063,,-31.616667,-68.383333
AR_J_070,,-31.65,-68.55
AR_J_077,,-31.566667,-68.516667
AR_J_084,,-31.516667,-68.6
AR_J_091,,-31.5,-68.283333
AR_J_098,,-31.533333,-68.466667
AR_J_105,,-32,-68.516667
AR_J_112,,-31.416667,-68.733333
AR_J_119,,-30.666667,-67.433333
AR_J_126,,-31.8167,-68.2
AR_J_133,,-31.55,-68.7667
AR_K,102602,-28.466667,-65.783333
AR_K_007,,-28.170556,-65.791389
AR_K_014,,-28.8125,-65.500833
AR_K_021,,-27.6,-66.316667
AR_K_028,,-26,-67.566667
AR_K_035,,-27.65,-67.033333
AR_K_042,,-28.733333,-65.983333
AR_K_049,,-28.466667,-65.783333
AR_K_056,,-28.3,-65.366667
AR_K_063,,-28.383333,-65.7
AR_K_070,,-29.266667,-65.033333
AR_K_077,,-28.166667,-65.683333
AR_K_084,4859,-28.173889,-66.211389
AR_K_091,,-26.683333,-66.033333
AR_K_098,,-28.1,-65.316667
AR_K_105,,-28.066667,-67.566667
AR_K_112,,-28.45,-65.733333
AR_L,143440,-36.616667,-64.283333
AR_L_007,,-37.1244,-63.6669
AR_L_014,9078,-38.982222,-64.090556
AR_L_021,,-36.6203,-64.2906
AR_L_028,,-36.4064,-63.4236
AR_L_035,,-35.9158,-64.2958
AR_L_042,,-38.1397,-65.9158
AR_L_049,,-36.2256,-66.9403
AR_L_056,,-35.2347,-63.5919
AR_L_070,,-37.6642,-63.5378
AR_L_077,,-37.9019,-63.7433
AR_L_098,,-36.2164,-65.4372
AR_L_105,,-35.6525,-63.7581
AR_L_112,13160,-37.7686,-67.7139
AR_L_119,2557,-36.0544,-63.5661
AR_L_126,,-35.0681,-64.6839
AR_L_133,,-35.0678,-64.6839
AR_L_140,5092,-36.6736,-64.3797
AR_L_147,,-35.6981,-64.1333
AR_L_154,,-37.3781,-64.6047
AR_M,148827,-34.5,-68.5
AR_M_007,54,-32.883333,-68.833333
AR_M_014,,-34.966667,-67.7
AR_M_021,,-32.916667,-68.816667
AR_M_028,,-32.9,-68.783333
AR_M_035,,-33.25,-68.716667
AR_M_042,,-33.466667,-67.55
AR_M_049,,-32.85,-68.816667
AR_M_056,,-32.716667,-68.583333
AR_M_063,,-33.5,-62.966667
AR_M_070,,-32.966667,-68.766667
AR_M_077,,-36.166667,-69.333333
AR_M_084,,-33.183333,-68.466667
AR_M_091,,-33.766667,-69.033333
AR_M_098,,-33.066667,-68.316667
AR_M_105,31235,-34.616667,-68.316667
AR_M_112,,-33.283333,-68.033333
AR_M_119,,-33.568889,-69.026389
AR_M_126,,-33.25,-69.25
AR_N,29801,-26.92,-54.52
AR_N_007,,-27.914167,-55.755
AR_N_014,,-27.216667,-54.966667
AR_N_021,875,-27.3694,-55.5822
AR_N_028,,-27.4,-55.91
AR_N_035,,-27.986329,-55.52531
AR_N_042,,-26.401111,-54.618611
AR_N_049,,-26.25,-53.65
AR_N_056,,-27.298611,-54.198611
AR_N_063,,-26.020556,-54.615278
AR_N_070,,-27.603889,-55.323611
AR_N_077,,-26.8,-55.033333
AR_N_084,,-26.567222,-54.765833
AR_N_091,,-27.483333,-55.133333
AR_N_098,,-27.258889,-55.539167
AR_N_105,,-27.873889,-55.135
AR_N_112,,-26.633333,-54.116667
AR_N_119,,-27.569167,-54.684167
AR_P,72066,-26.183333,-58.175
AR_P_007,12850,-24.25,-61.25
AR_P_014,,-26.183333,-58.175
AR_P_021,3480,-26.245278,-58.629167
AR_P_028,4431,-23.898889,-61.855556
AR_P_035,,-25.333333,-59.683333
AR_P_042,3041,-24.981389,-58.552778
AR_P_049,,-25.286111,-57.7225
AR_P_056,8425,-25.732778,-59.11
AR_P_063,3800,-23.19,-62.043611
AR_Q,94078,-38.951667,-68.074444
AR_Q_007,5200,-39.238333,-70.915556
AR_Q_014,11655,-38.354167,-68.787778
AR_Q_021,5490,-39.556667,-70.593889
AR_Q_028,5730,-40.048333,-70.075
AR_Q_035,7352,-38.951389,-68.059167
AR_Q_042,4330,-37.378333,-70.272222
AR_Q_049,4012,-39.950833,-71.070833
AR_Q_056,4930,-40.156667,-71.3525
AR_Q_063,5506,-38.066667,-70.614722
AR_Q_070,4230,-40.761944,-71.643056
AR_Q_077,6225,-37.1797,-70.6697
AR_Q_084,5545,-37.644722,-70.581667
AR_Q_091,8720,-37.390278,-68.925278
AR_Q_098,4580,-39.518611,-69.291111
AR_Q_105,5913,-38.523333,-70.361667
AR_Q_112,5200,-38.902778,-70.064722
AR_R,203013,-40.8,-63
AR_R_007,,-40.808333,-62.994722
AR_R_014,,-39.2922,-65.6625
AR_R_021,,-41.133333,-71.283333
AR_R_028,,-40.102222,-64.449444
AR_R_042,,-39.02,-67.61
AR_R_049,,-40.6,-67.783333
AR_R_063,,-39.016667,-64.083333
AR_R_070,,-41.1225,-70.721667
AR_R_077,14015,-40.7167,-64.9167
AR_R_084,,-40.679988,-66.165471
AR_R_091,,-41.2503,-68.7041
AR_S,133007,-33.722778,-62.246111
AR_S_007,2386,-32.5,-61.75
AR_S_014,3449,-33.05,-61.166667
AR_S_021,6600,-31.266667,-61.483333
AR_S_028,3225,-33.233333,-60.333333
AR_S_035,3964,-31.1,-60.083333
AR_S_042,11558,-33.65,-61.45
AR_S_049,10928,-29.666667,-59.2
AR_S_056,3184,-32.816667,-61.4
AR_S_063,3055,-31.633333,-60.7
AR_S_070,6439,-31.416667,-60.933333
AR_S_077,16870,-29.233333,-61.766667
AR_S_084,1890,-32.95,-60.666667
AR_S_091,14850,-30.316667,-61.233333
AR_S_098,6929,-30.583333,-59.95
AR_S_105,4282,-31.966667,-60.916667
AR_S_112,5575,-30.783333,-60.583333
AR_S_119,1867,-32.75,-60.733333
AR_S_126,4860,-31.75,-61.833333
AR_S_133,21096,-29,-60.5
AR_T,22524,-27,-65.5
AR_T_007,,-26.500278,-64.741944
AR_T_014,,-26.84,-65.161944
AR_T_021,,-27.345833,-65.592778
AR_T_028,427,-27.05,-65.4
AR_T_035,1678,-27.646667,-65.440278
AR_T_042,730,-27.585556,-65.6175
AR_T_049,917,-27.771111,-65.585556
AR_T_056,2027,-27.032778,-65.307222
AR_T_063,540,-26.921944,-65.337778
AR_T_070,1169,-27.165,-65.497778
AR_T_077,585,-27.4333,-65.6167
AR_T_084,90,-26.8333,-65.2
AR_T_091,1261,-27.263056,-65.357778
AR_T_098,2741,-26.846389,-65.708889
AR_T_105,,-26.734444,-65.259167
AR_T_112,2862,-26.2308,-65.2833
AR_T_119,160,-26.816667,-65.316667
AR_U,224686,-43.3,-65.1
AR_U_007,12940,-42.766667,-65.033333
AR_U_014,16250,-42.9,-71.316667
AR_U_021,14015,-45.866667,-67.5
AR_U_028,16088,-44.766667,-65.716667
AR_U_035,9435,-42.9,-71.316667
AR_U_042,11076,-43.266667,-65.466667
AR_U_070,22300,-43.85,-69.033333
AR_U_077,3922,-43.283333,-65.083333
AR_U_084,22335,-45.016667,-70.816667
AR_U_091,14563,-45.583333,-69.083333
AR_U_098,14750,-44.016667,-70.466667
AR_U_105,19893,-42.383333,-66.95
AR_V,21571,-54.362,-67.638
AR_V_007,12181,-53.7864,-67.6967
AR_V_014,9390,-54.8161,-68.3236
AR_V_028,,-75,-49.5
AR_W,88199,-28.66,-57.63
AR_W_007,1751,-28.466667,-59.05
AR_W_014,804,-27.55,-57.533333
AR_W_021,90,-27.483333,-58.816667
AR_W_028,5124,,
AR_W_035,8205,,
AR_W_042,1958,,
AR_W_049,3928,-30,-59.33333
AR_W_056,,,
AR_W_063,,-27.75,-57.616667
AR_W_070,,-29.15,-59.25
AR_W_077,,-27.266667,-58.25
AR_W_084,,-27.6,-56.666667
AR_W_091,,-29.016667,-59.166667
AR_W_098,,-28.05,-58.216667
AR_W_105,,-29.2,-58.083333
AR_W_112,,-30.25,-57.633333
AR_W_119,4700,-29.716667,-57.066667
AR_W_126,1907,-28.25,-58.616667
AR_W_133,,-27.516667,-58.566667
AR_W_147,,-29.183333,-56.65
AR_W_154,,-28,-57.6
AR_W_161,,-28.566667,-58.716667
AR_W_168,,-28.55,-56.033333
AR_W_175,,-30.066667,-58.766667
AR_X,165321,-32,-64
AR_X_007,4642,-31.983333,-64.366667
AR_X_014,562,-31.41667,-64.2
AR_X_021,2588,-30.983333,-64.083333
AR_X_028,6653,-30.7344,-64.7992
AR_X_035,12659,-34.816667,-64.566667
AR_X_042,5006,-32.416667,-63.233333
AR_X_049,5123,-30.416667,-64.333333
AR_X_056,8902,-33.416667,-63.3
AR_X_063,9490,-32.7,-62.033333
AR_X_070,3730,-31.183333,-65.083333
AR_X_077,3207,-31.316667,-65.066667
AR_X_084,8228,-34.066667,-63.383333
AR_X_091,2592,-31.25,-64.45
AR_X_098,18394,-33.133333,-64.333333
AR_X_105,6753,-31.133333,-63.366667
AR_X_112,6754,-29.883333,-63.716667
AR_X_119,4970,-31.756667,-63.61
AR_X_126,,-31.666667,-65.016667
AR_X_133,1652,-31.933333,-65.2
AR_X_140,13677,-31.433333,-62.066667
AR_X_147,3427,-31.65,-64.416667
AR_X_154,3307,-29.766667,-63.916667
AR_X_161,5187,-32.033333,-63.566667
AR_X_168,3145,-30.816667,-63.716667
AR_X_175,10164,-30.4,-64.116667
AR_X_182,11182,-32.633333,-62.766667
AR_Y,53219,-23.75,-65.5
AR_Y_007,7837,-22.722778,-65.696667
AR_Y_014,912,-24.389722,-65.261667
AR_Y_021,,-24.186944,-65.299167
AR_Y_028,,-23.2025,-65.348611
AR_Y_042,,-24.24602,-65.1384
AR_Y_049,6407,-22.440278,-66.166389
AR_Y_056,,-24.3667,-65.3333
AR_Y_063,,-24.2333,-64.8667
AR_Y_070,,-24.3086,-64.6603
AR_Y_077,,-21.945556,-66.051667
AR_Y_084,,-23.396667,-66.366389
AR_Y_094,,-23.573889,-65.393611
AR_Y_098,,-23.857778,-65.467778
AR_Y_105,962,-23.475833,-64.947778
AR_Y_112,,-22.101111,-65.595556
AR_Z,243943,-48.823889,-69.815
AR_Z_007,34262,-50.019205,-68.523053
AR_Z_014,63784,-47.747778,-65.8925
AR_Z_021,33841,-51.623333,-69.216389
AR_Z_028,37292,-50.338611,-72.273889
AR_Z_035,28609,-46.588333,-70.930278
AR_Z_042,19805,-49.304444,-67.729722
AR_Z_049,34262,-48.7508,-70.2486
AS,200,-14.295833,-170.7075
AT,83879,48,14
AT_1,3961,47.5,16.416667
AT_1_101,42,47.845556,16.518889
AT_1_102,20,47.800833,16.675833
AT_1_103,,47.838,16.54
AT_1_104,,47.118,16.261
AT_1_105,253,46.9368,16.1418
AT_1_106,237,47.746,16.417
AT_1_107,,47.928,16.934
AT_1_108,,47.534,16.496
AT_1_109,,47.294,16.243
AT_2,9535,46.7525,13.8617
AT_2_201,120,46.616667,14.3
AT_2_202,134,46.616667,13.833333
AT_2_203,808,46.662,13.183
AT_2_204,,46.609,14.234
AT_2_205,1493,46.862,14.428
AT_2_206,2764,46.833,13.306
AT_2_207,1009,46.624,13.724
AT_2_208,907,46.591,14.644
AT_2_209,,46.842,14.86
AT_2_210,,46.75,14.037
AT_3,19186,48.333333,15.75
AT_3_301,51,48.416667,15.616667
AT_3_302,1121,48.183,15.667
AT_3_303,131,47.95964,14.77453
